neurotransmitter,class,subclass,supertype,cluster
,,235 PG-TRN-LRN Fat2 Glut,0235 STR Prox1 Lhx6 Gaba_3,0235 LA-BLA-BMA-PA Glut_2
,,236 IRN Vip Glut,0236 STR Lhx8 Gaba_1,0236 LA-BLA-BMA-PA Glut_3
,,237 PRP-NI-PRNc-GRN Otp Glut,0237 STR Lhx8 Gaba_2,0237 LA-BLA-BMA-PA Glut_3
,,238 NTS Phox2b Glut,0238 Sst Chodl Gaba_1,0238 LA-BLA-BMA-PA Glut_3
,,239 MARN-GRN Pyy Glut,0239 Sst Chodl Gaba_2,0239 LA-BLA-BMA-PA Glut_3
,,240 MDRNv Lhx4 Qrfprl Glut,0240 Sst Chodl Gaba_3,0240 LA-BLA-BMA-PA Glut_3
,,241 NTS Mbnl3 Glut,0241 Sst Chodl Gaba_4,0241 LA-BLA-BMA-PA Glut_4
,,242 PGRNd Dmbx1 Glut,0242 Sst Chodl Gaba_5,0242 LA-BLA-BMA-PA Glut_4
,,243 PGRN-PARN-MDRN Hoxb5 Glut,0243 Sst Chodl Gaba_6,0243 LA-BLA-BMA-PA Glut_4
,,244 MV-SPIV Slc6a2 Glut,0244 NDB-SI-MA-STRv Lhx8 Gaba_1,0244 LA-BLA-BMA-PA Glut_4
,,245 SPVI-SPVC Tlx3 Ebf3 Glut,0245 NDB-SI-MA-STRv Lhx8 Gaba_2,0245 LA-BLA-BMA-PA Glut_5
,,246 CU-ECU-SPVI Foxb1 Glut,0246 NDB-SI-MA-STRv Lhx8 Gaba_3,0246 LA-BLA-BMA-PA Glut_5
,,247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,0247 NDB-SI-MA-STRv Lhx8 Gaba_4,0247 LA-BLA-BMA-PA Glut_5
,,248 MV-SPIV Zic4 Neurod2 Glut,0248 NDB-SI-MA-STRv Lhx8 Gaba_5,0248 LA-BLA-BMA-PA Glut_5
,,249 NTS Aldh1a2 Glut,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0249 LA-BLA-BMA-PA Glut_6
,,250 CBN Neurod2 Pvalb Glut,0250 NDB-SI-MA-STRv Lhx8 Gaba_7,0250 LA-BLA-BMA-PA Glut_6
,,251 NTS Dbh Glut,0251 NDB-SI-MA-STRv Lhx8 Gaba_8,0251 LA-BLA-BMA-PA Glut_6
,,252 DMX VII Tbx20 Chol,0252 NDB-SI-MA-STRv Lhx8 Gaba_9,0252 ENTmv-PA-COAp Glut_1
,,253 IO Fgl2 Glut,0253 NDB-SI-MA-STRv Lhx8 Gaba_10,0253 ENTmv-PA-COAp Glut_1
,,254 VCO Mafa Meis2 Glut,0254 NDB-SI-MA-STRv Lhx8 Gaba_11,0254 ENTmv-PA-COAp Glut_1
,,255 SPVO Mafa Meis2 Glut,0255 NDB-SI-MA-STRv Lhx8 Gaba_12,0255 ENTmv-PA-COAp Glut_1
,,256 SPVC Mafa Glut,0256 NDB-SI-MA-STRv Lhx8 Gaba_13,0256 ENTmv-PA-COAp Glut_2
,,257 SPVC Ccdc172 Glut,0257 GPe-SI Sox6 Cyp26b1 Gaba_1,0257 ENTmv-PA-COAp Glut_2
,,258 SPVC Nmu Glut,0258 GPe-SI Sox6 Cyp26b1 Gaba_2,0258 ENTmv-PA-COAp Glut_2
,,259 MDRNd Bves Glut,0259 PAL-STR Gaba-Chol_1,0259 ENTmv-PA-COAp Glut_3
,,260 MDRNv Crp Glut,0260 PAL-STR Gaba-Chol_2,0260 ENTmv-PA-COAp Glut_3
,,261 HB Calcb Chol,0261 PAL-STR Gaba-Chol_3,0261 CA1-ProS Glut_1
,,262 Pineal Crx Glut,0262 OT D3 Folh1 Gaba_1,0262 CA1-ProS Glut_1
,,263 CS-RPO Meis2 Gaba,0263 OT D3 Folh1 Gaba_2,0263 CA1-ProS Glut_1
,,264 PRNc Otp Gly-Gaba,0264 OT D3 Folh1 Gaba_3,0264 CA1-ProS Glut_1
,,265 PB Sst Gly-Gaba,0265 STR D1 Gaba_1,0265 CA1-ProS Glut_1
,,266 PRNc Prox1 Brs3 Gly-Gaba,0266 STR D1 Gaba_2,0266 CA1-ProS Glut_1
,,267 CS-PRNr-PCG Tmem163 Otp Gaba,0267 STR D1 Gaba_3,0267 CA1-ProS Glut_1
,,268 CS-PRNr-DR En1 Sox2 Gaba,0268 STR D1 Gaba_4,0268 CA1-ProS Glut_1
,,269 LDT Fgf7 Gaba,0269 STR D1 Gaba_5,0269 CA1-ProS Glut_1
,,270 LDT-DTN Gata3 Nfix Gaba,0270 STR D1 Gaba_6,0270 CA1-ProS Glut_1
,,271 NI-RPO Gata3 Nr4a2 Gaba,0271 STR D1 Gaba_7,0271 CA1-ProS Glut_2
,,272 LDT-PCG-CS Gata3 Lhx1 Gaba,0272 STR D1 Gaba_8,0272 CA1-ProS Glut_2
,,273 PDTg-PCG Pax6 Gaba,0273 STR D1 Gaba_9,0273 CA1-ProS Glut_2
,,274 PDTg Otp Shroom3 Gaba,0274 STR D2 Gaba_1,0274 CA1-ProS Glut_2
,,275 PDTg Otp Olig3 Gaba,0275 STR D2 Gaba_2,0275 CA1-ProS Glut_2
,,276 LDT-PCG St18 Gaba,0276 STR D2 Gaba_3,0276 CA1-ProS Glut_2
,,277 DTN-LDT-IPN Otp Pax3 Gaba,0277 STR D2 Gaba_4,0277 CA1-ProS Glut_2
,,278 NLL Gata3 Gly-Gaba,0278 STR D2 Gaba_5,0278 CA1-ProS Glut_3
,,279 PSV Pax2 Gly-Gaba,0279 STR D2 Gaba_6,0279 CA1-ProS Glut_3
,,280 NLL-po Pax7 Gaba,0280 STR D2 Gaba_7,0280 CA1-ProS Glut_3
,,281 POR Gata3 Gly-Gaba,0281 STR D1 Sema5a Gaba_1,0281 CA1-ProS Glut_3
,,282 POR Spp1 Gly-Gaba,0282 STR D1 Sema5a Gaba_2,0282 CA1-ProS Glut_3
,,283 PRP Otp Gly-Gaba,0283 STR D1 Sema5a Gaba_3,0283 CA1-ProS Glut_3
,,284 GRN-IRN-MDRNd Ikzf1 Gly-Gaba,0284 STR D1 Sema5a Gaba_4,0284 CA1-ProS Glut_4
,,285 MY Lhx1 Gly-Gaba,0285 STR-PAL Chst9 Gaba_1,0285 CA1-ProS Glut_4
,,286 PPY-PGRNl Vip Glyc-Gaba,0286 STR-PAL Chst9 Gaba_2,0286 CA1-ProS Glut_4
,,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,0287 STR-PAL Chst9 Gaba_3,0287 CA1-ProS Glut_4
,,288 MDRN Hoxb5 Ebf2 Gly-Gaba,0288 STR-PAL Chst9 Gaba_4,0288 CA1-ProS Glut_4
,,289 MDRNd Prox1 Pax6 Gly-Gaba,0289 STR-PAL Chst9 Gaba_5,0289 CA1-ProS Glut_5
,,290 MY Prox1 Lmo7 Gly-Gaba,0290 IA Mgp Gaba_1,0290 CA1-ProS Glut_5
,,291 NTS-MDRNd Prox1 Zic1 Gly-Gaba,0291 IA Mgp Gaba_2,0291 CA1-ProS Glut_5
,,292 MV Nkx6-1 Gly-Gaba,0292 IA Mgp Gaba_3,0292 CA1-ProS Glut_5
,,293 PAS-MV Ebf2 Gly-Gaba,0293 IA Mgp Gaba_4,0293 CA1-ProS Glut_6
,,294 MV Pax6 Gly-Gaba,0294 IA Mgp Gaba_5,0294 CA1-ProS Glut_6
,,295 CBN Dmbx1 Gaba,0295 NDB-SI-ant Prdm12 Gaba_1,0295 CA1-ProS Glut_6
,,296 RPA Pax6 Hoxb5 Gly-Gaba,0296 NDB-SI-ant Prdm12 Gaba_2,0296 CA3 Glut_1
,,297 CU-ECU Pax2 Gly-Gaba,0297 NDB-SI-ant Prdm12 Gaba_3,0297 CA3 Glut_1
,,298 PRP Gata3 Slc6a5 Gly-Gaba,0298 NDB-SI-ant Prdm12 Gaba_4,0298 CA3 Glut_1
,,299 MARN-PPY Ngfr Gly-Gaba,0299 LSX Sall3 Pax6 Gaba_1,0299 CA3 Glut_1
,,300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,0300 LSX Sall3 Pax6 Gaba_2,0300 CA3 Glut_1
,,301 MV Nr4a2 Gly-Gaba,0301 LSX Otx2 Gaba_1,0301 CA3 Glut_1
,,302 MV Xdh Gly-Gaba,0302 LSX Otx2 Gaba_2,0302 CA3 Glut_2
,,303 IRN Dmbx1 Pax2 Gly-Gaba,0303 LSX Otx2 Gaba_3,0303 CA3 Glut_2
,,304 NTS-PARN Neurod2 Gly-Gaba,0304 LSX Otx2 Gaba_4,0304 CA3 Glut_2
,,305 SPVI-SPVC Sall3 Nfib Gly-Gaba,0305 LSX Otx2 Gaba_5,0305 CA3 Glut_2
,,306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,0306 LSX Nkx2-1 Gaba_1,0306 CA3 Glut_2
,,307 RO-RPA Pkd2l1 Gaba,0307 LSX Nkx2-1 Gaba_2,0307 CA3 Glut_3
,,308 DCO Il22 Gly-Gaba,0308 LSX Nkx2-1 Gaba_3,0308 CA3 Glut_3
,,309 CB PLI Gly-Gaba,0309 LSX Nkx2-1 Gaba_4,0309 CA3 Glut_3
,,310 CBX Golgi Gly-Gaba,0310 LSX Nkx2-1 Gaba_5,0310 CA3 Glut_3
,,311 CBX MLI Megf11 Gaba,0311 LSX Nkx2-1 Gaba_6,0311 CA3 Glut_3
,,312 CBX MLI Cdh22 Gaba,0312 LSX Nkx2-1 Gaba_7,0312 CA3 Glut_3
,,313 CBX Purkinje Gaba,0313 LSX Nkx2-1 Gaba_8,0313 CA3 Glut_4
,,314 CB Granule Glut,0314 LSX Nkx2-1 Gaba_9,0314 CA3 Glut_4
,,315 DCO UBC Glut,0315 LSX Nkx2-1 Gaba_10,0315 CA3 Glut_4
,,316 Bergmann NN,0316 LSX Nkx2-1 Gaba_11,0316 CA3 Glut_5
,,317 Astro-CB NN,0317 LSX Prdm12 Slit2 Gaba_1,0317 CA3 Glut_5
,,318 Astro-NT NN,0318 LSX Prdm12 Slit2 Gaba_2,0318 L2 IT PPP-APr Glut_1
,,319 Astro-TE NN,0319 LSX Prdm12 Slit2 Gaba_3,0319 L2 IT PPP-APr Glut_1
,,320 Astro-OLF NN,0320 LSX Prdm12 Slit2 Gaba_4,0320 L2 IT PPP-APr Glut_1
,,321 Astroependymal NN,0321 LSX Prdm12 Slit2 Gaba_5,0321 L2 IT PPP-APr Glut_1
,,322 Tanycyte NN,0322 LSX Prdm12 Slit2 Gaba_6,0322 L2 IT PPP-APr Glut_2
,,323 Ependymal NN,0323 LSX Prdm12 Slit2 Gaba_7,0323 L2 IT PPP-APr Glut_2
,,324 Hypendymal NN,0324 LSX Prdm12 Slit2 Gaba_8,0324 L2 IT PPP-APr Glut_2
,,325 CHOR NN,0325 LSX Prdm12 Slit2 Gaba_9,0325 L2 IT PPP-APr Glut_2
,,326 OPC NN,0326 LSX Prdm12 Zeb2 Gaba_1,0326 L2 IT PPP-APr Glut_3
,,327 Oligo NN,0327 LSX Prdm12 Zeb2 Gaba_2,0327 L2 IT PPP-APr Glut_3
,,328 OEC NN,0328 LSX Prdm12 Zeb2 Gaba_3,0328 L2 IT PPP-APr Glut_4
,,329 ABC NN,0329 LSX Prdm12 Zeb2 Gaba_4,0329 L2/3 IT PPP Glut_1
,,330 VLMC NN,0330 LSX Prdm12 Zeb2 Gaba_5,0330 L2/3 IT PPP Glut_1
,,331 Peri NN,0331 LSX Sall3 Lmo1 Gaba_1,0331 L2/3 IT PPP Glut_1
,,332 SMC NN,0332 LSX Sall3 Lmo1 Gaba_2,0332 L2/3 IT PPP Glut_1
,,333 Endo NN,0333 LSX Sall3 Lmo1 Gaba_3,0333 L2/3 IT PPP Glut_2
,,334 Microglia NN,0334 LSX Sall3 Lmo1 Gaba_4,0334 L2/3 IT PPP Glut_2
,,335 BAM NN,0335 LSX Sall3 Lmo1 Gaba_5,0335 L2/3 IT PPP Glut_2
,,336 Monocytes NN,0336 LSX Sall3 Lmo1 Gaba_6,0336 L2/3 IT PPP Glut_2
,,337 DC NN,0337 MEA-BST Sox6 Gaba_1,0337 L2/3 IT PPP Glut_3
,,338 Lymphoid NN,0338 MEA-BST Sox6 Gaba_2,0338 L2/3 IT PPP Glut_3
,,,0339 MEA-BST Sox6 Gaba_3,0339 L2/3 IT PPP Glut_3
,,,0340 MEA-BST Sox6 Gaba_4,0340 L2/3 IT PPP Glut_3
,,,0341 MEA-BST Sox6 Gaba_5,0341 L2/3 IT PPP Glut_3
,,,0342 MEA-BST Sox6 Gaba_6,0342 L2/3 IT RSP Glut_1
,,,0343 MEA-BST Sox6 Gaba_7,0343 L2/3 IT RSP Glut_2
,,,0344 MEA-BST Sox6 Gaba_8,0344 L2/3 IT RSP Glut_2
,,,0345 MEA-BST Sox6 Gaba_9,0345 L2/3 IT RSP Glut_2
,,,0346 MEA-BST Sox6 Gaba_10,0346 L2/3 IT RSP Glut_2
,,,0347 MEA-BST Lhx6 Sp9 Gaba_1,0347 L4 RSP-ACA Glut_1
,,,0348 MEA-BST Lhx6 Sp9 Gaba_2,0348 L4 RSP-ACA Glut_1
,,,0349 MEA-BST Lhx6 Sp9 Gaba_3,0349 L5 ET CTX Glut_1
,,,0350 MEA-BST Lhx6 Sp9 Gaba_4,0350 L5 ET CTX Glut_1
,,,0351 MEA-BST Lhx6 Sp9 Gaba_5,0351 L5 ET CTX Glut_1
,,,0352 MEA-BST Lhx6 Sp9 Gaba_6,0352 L5 ET CTX Glut_1
,,,0353 MEA-BST Lhx6 Sp9 Gaba_7,0353 L5 ET CTX Glut_1
,,,0354 MEA-BST Lhx6 Nr2e1 Gaba_1,0354 L5 ET CTX Glut_1
,,,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,0355 L5 ET CTX Glut_1
,,,0356 MEA-BST Lhx6 Nr2e1 Gaba_3,0356 L5 ET CTX Glut_1
,,,0357 MEA-BST Lhx6 Nfib Gaba_1,0357 L5 ET CTX Glut_1
,,,0358 MEA-BST Lhx6 Nfib Gaba_2,0358 L5 ET CTX Glut_1
,,,0359 MEA-BST Lhx6 Nfib Gaba_3,0359 L5 ET CTX Glut_2
,,,0360 MEA-BST Lhx6 Nfib Gaba_4,0360 L5 ET CTX Glut_2
,,,0361 MEA-BST Lhx6 Nfib Gaba_5,0361 L5 ET CTX Glut_2
,,,0362 MEA-BST Lhx6 Nfib Gaba_6,0362 L5 ET CTX Glut_2
,,,0363 CEA-BST Gal Avp Gaba_1,0363 L5 ET CTX Glut_2
,,,0364 SI-MA-ACB Ebf1 Bnc2 Gaba_1,0364 L5 ET CTX Glut_2
,,,0365 SI-MA-ACB Ebf1 Bnc2 Gaba_2,0365 L5 ET CTX Glut_3
,,,0366 SI-MA-ACB Ebf1 Bnc2 Gaba_3,0366 L5 ET CTX Glut_3
,,,0367 CEA-BST Six3 Cyp26b1 Gaba_1,0367 L5 ET CTX Glut_3
,,,0368 CEA-BST Six3 Cyp26b1 Gaba_2,0368 L5 ET CTX Glut_3
,,,0369 CEA-BST Six3 Cyp26b1 Gaba_3,0369 L5 ET CTX Glut_3
,,,0370 CEA-BST Six3 Cyp26b1 Gaba_4,0370 L5 ET CTX Glut_4
,,,0371 CEA-BST Six3 Cyp26b1 Gaba_5,0371 L5 ET CTX Glut_4
,,,0372 CEA-BST Six3 Cyp26b1 Gaba_6,0372 L5 ET CTX Glut_4
,,,0373 CEA-AAA-BST Six3 Sp9 Gaba_1,0373 L5 ET CTX Glut_4
,,,0374 CEA-AAA-BST Six3 Sp9 Gaba_2,0374 L5 ET CTX Glut_4
,,,0375 CEA-AAA-BST Six3 Sp9 Gaba_3,0375 L5 ET CTX Glut_5
,,,0376 CEA-AAA-BST Six3 Sp9 Gaba_4,0376 L5 ET CTX Glut_5
,,,0377 CEA-AAA-BST Six3 Sp9 Gaba_5,0377 L5 ET CTX Glut_5
,,,0378 CEA-AAA-BST Six3 Sp9 Gaba_6,0378 L5 ET CTX Glut_5
,,,0379 CEA-AAA-BST Six3 Sp9 Gaba_7,0379 L5 ET CTX Glut_6
,,,0380 CEA-AAA-BST Six3 Sp9 Gaba_8,0380 L5 ET CTX Glut_6
,,,0381 ACB-BST-FS D1 Gaba_1,0381 L5 ET CTX Glut_6
,,,0382 ACB-BST-FS D1 Gaba_2,0382 L5 ET CTX Glut_6
,,,0383 ACB-BST-FS D1 Gaba_3,0383 SUB-ProS Glut_1
,,,0384 CEA-BST Ebf1 Pdyn Gaba_1,0384 SUB-ProS Glut_1
,,,0385 CEA-BST Ebf1 Pdyn Gaba_2,0385 SUB-ProS Glut_1
,,,0386 CEA-BST Ebf1 Pdyn Gaba_3,0386 SUB-ProS Glut_1
,,,0387 CEA-BST Ebf1 Pdyn Gaba_4,0387 SUB-ProS Glut_1
,,,0388 CEA-BST Ebf1 Pdyn Gaba_5,0388 SUB-ProS Glut_2
,,,0389 CEA-BST Ebf1 Pdyn Gaba_6,0389 SUB-ProS Glut_2
,,,0390 CEA-BST Ebf1 Pdyn Gaba_7,0390 SUB-ProS Glut_2
,,,0391 CEA-BST Ebf1 Pdyn Gaba_8,0391 SUB-ProS Glut_2
,,,0392 CEA-BST Rai14 Pdyn Crh Gaba_1,0392 SUB-ProS Glut_2
,,,0393 CEA-BST Rai14 Pdyn Crh Gaba_2,0393 SUB-ProS Glut_2
,,,0394 BST-SI-AAA Six3 Slc22a3 Gaba_1,0394 SUB-ProS Glut_3
,,,0395 BST-SI-AAA Six3 Slc22a3 Gaba_2,0395 SUB-ProS Glut_3
,,,0396 SI-MPO-LPO Lhx8 Gaba_1,0396 SUB-ProS Glut_3
,,,0397 SI-MPO-LPO Lhx8 Gaba_2,0397 SUB-ProS Glut_3
,,,0398 SI-MPO-LPO Lhx8 Gaba_3,0398 L5 PPP Glut_1
,,,0399 SI-MPO-LPO Lhx8 Gaba_4,0399 CA2-FC-IG Glut_1
,,,0400 SI-MPO-LPO Lhx8 Gaba_5,0400 CA2-FC-IG Glut_2
,,,0401 SI-MPO-LPO Lhx8 Gaba_6,0401 CA2-FC-IG Glut_2
,,,0402 MPO-ADP Lhx8 Gaba_1,0402 NLOT Rho Glut_1
,,,0403 MPO-ADP Lhx8 Gaba_2,0403 L6b EPd Glut_1
,,,0404 MPO-ADP Lhx8 Gaba_3,0404 L6b EPd Glut_1
,,,0405 MPO-ADP Lhx8 Gaba_4,0405 L6b EPd Glut_2
,,,0406 MPO-ADP Lhx8 Gaba_5,0406 L6b EPd Glut_2
,,,0407 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,0407 L6b EPd Glut_3
,,,0408 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_2,0408 L6b EPd Glut_3
,,,0409 BST Tac2 Gaba_1,0409 L6b EPd Glut_3
,,,0410 BST Tac2 Gaba_2,0410 L6b/CT ENT Glut_1
,,,0411 PVR Six3 Sox3 Gaba_1,0411 L6b/CT ENT Glut_1
,,,0412 PVR Six3 Sox3 Gaba_2,0412 L6b/CT ENT Glut_1
,,,0413 PVR Six3 Sox3 Gaba_3,0413 L6b/CT ENT Glut_1
,,,0414 PVR Six3 Sox3 Gaba_4,0414 L6b/CT ENT Glut_2
,,,0415 PVR Six3 Sox3 Gaba_5,0415 L6b/CT ENT Glut_2
,,,0416 PVR Six3 Sox3 Gaba_6,0416 L6b/CT ENT Glut_2
,,,0417 PVR Six3 Sox3 Gaba_7,0417 L6b/CT ENT Glut_2
,,,0418 PVR Six3 Sox3 Gaba_8,0418 L6b/CT ENT Glut_3
,,,0419 PVR Six3 Sox3 Gaba_9,0419 L6b/CT ENT Glut_3
,,,0420 BST-MPN Six3 Nrgn Gaba_1,0420 L6b/CT ENT Glut_3
,,,0421 BST-MPN Six3 Nrgn Gaba_2,0421 L6b/CT ENT Glut_4
,,,0422 BST-MPN Six3 Nrgn Gaba_3,0422 L6b/CT ENT Glut_4
,,,0423 BST-MPN Six3 Nrgn Gaba_4,0423 L6b/CT ENT Glut_4
,,,0424 BST-MPN Six3 Nrgn Gaba_5,0424 L6b CTX Glut_1
,,,0425 BST-MPN Six3 Nrgn Gaba_6,0425 L6b CTX Glut_1
,,,0426 BST-MPN Six3 Nrgn Gaba_7,0426 L6b CTX Glut_1
,,,0427 ARH-PVi Six6 Dopa-Gaba_1,0427 L6b CTX Glut_2
,,,0428 ARH-PVi Six6 Dopa-Gaba_2,0428 L6b CTX Glut_2
,,,0429 TMv-PMv Tbx3 Hist-Gaba_1,0429 L6b CTX Glut_2
,,,0430 TMv-PMv Tbx3 Hist-Gaba_2,0430 L6b CTX Glut_2
,,,0431 RT-ZI Gnb3 Gaba_1,0431 L6b CTX Glut_3
,,,0432 RT-ZI Gnb3 Gaba_2,0432 L6b CTX Glut_3
,,,0433 RT-ZI Gnb3 Gaba_3,0433 L6b CTX Glut_3
,,,0434 RT-ZI Gnb3 Gaba_4,0434 L6b CTX Glut_3
,,,0435 RT-ZI Gnb3 Gaba_5,0435 L6b CTX Glut_4
,,,0436 SCH Six6 Cdc14a Gaba_1,0436 L6 CT CTX Glut_1
,,,0437 SCH Six6 Cdc14a Gaba_2,0437 L6 CT CTX Glut_1
,,,0438 SCH Six6 Cdc14a Gaba_3,0438 L6 CT CTX Glut_1
,,,0439 DMH Prdm13 Gaba_1,0439 L6 CT CTX Glut_1
,,,0440 DMH Prdm13 Gaba_2,0440 L6 CT CTX Glut_1
,,,0441 PVHd Gsc Gaba_1,0441 L6 CT CTX Glut_2
,,,0442 PVHd-SBPV Six3 Prox1 Gaba_1,0442 L6 CT CTX Glut_2
,,,0443 PVHd-SBPV Six3 Prox1 Gaba_2,0443 L6 CT CTX Glut_2
,,,0444 PVHd-SBPV Six3 Prox1 Gaba_3,0444 L6 CT CTX Glut_2
,,,0445 PVHd-SBPV Six3 Prox1 Gaba_4,0445 L6 CT CTX Glut_3
,,,0446 AHN-SBPV-PVHd Pdrm12 Gaba_1,0446 L6 CT CTX Glut_3
,,,0447 AHN-SBPV-PVHd Pdrm12 Gaba_2,0447 L6 CT CTX Glut_3
,,,0448 AHN-SBPV-PVHd Pdrm12 Gaba_3,0448 L6 CT CTX Glut_3
,,,0449 AHN-SBPV-PVHd Pdrm12 Gaba_4,0449 L6 CT CTX Glut_3
,,,0450 AHN-SBPV-PVHd Pdrm12 Gaba_5,0450 L6 CT CTX Glut_4
,,,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,0451 L6 CT CTX Glut_5
,,,0452 AHN-SBPV-PVHd Pdrm12 Gaba_7,0452 L6 CT CTX Glut_5
,,,0453 SBPV-PVa Six6 Satb2 Gaba_1,0453 L6 CT CTX Glut_5
,,,0454 SBPV-PVa Six6 Satb2 Gaba_2,0454 L6 CT CTX Glut_5
,,,0455 SBPV-PVa Six6 Satb2 Gaba_3,0455 L6 CT CTX Glut_5
,,,0456 AHN Onecut3 Gaba_1,0456 L6 CT CTX Glut_5
,,,0457 AHN Onecut3 Gaba_2,0457 L6 CT CTX Glut_6
,,,0458 AHN Onecut3 Gaba_3,0458 CT SUB Glut_1
,,,0459 ZI Pax6 Gaba_1,0459 CT SUB Glut_2
,,,0460 ZI Pax6 Gaba_2,0460 CT SUB Glut_2
,,,0461 ZI Pax6 Gaba_3,0461 L5 NP CTX Glut_1
,,,0462 ZI Pax6 Gaba_4,0462 L5 NP CTX Glut_1
,,,0463 ZI Pax6 Gaba_5,0463 L5 NP CTX Glut_1
,,,0464 ZI Pax6 Gaba_6,0464 L5 NP CTX Glut_2
,,,0465 ZI Pax6 Gaba_7,0465 L5 NP CTX Glut_2
,,,0466 ZI Pax6 Gaba_8,0466 L5 NP CTX Glut_2
,,,0467 ZI Pax6 Gaba_9,0467 L5 NP CTX Glut_2
,,,0468 ZI Pax6 Gaba_10,0468 L5 NP CTX Glut_3
,,,0469 ZI Pax6 Gaba_11,0469 L5 NP CTX Glut_3
,,,0470 DMH-LHA Gsx1 Gaba_1,0470 L5 NP CTX Glut_3
,,,0471 DMH-LHA Gsx1 Gaba_2,0471 L5 NP CTX Glut_3
,,,0472 DMH-LHA Gsx1 Gaba_3,0472 L5 NP CTX Glut_4
,,,0473 DMH-LHA Gsx1 Gaba_4,0473 L5 NP CTX Glut_4
,,,0474 PVHd-DMH Lhx6 Gaba_1,0474 L5 NP CTX Glut_4
,,,0475 PVHd-DMH Lhx6 Gaba_2,0475 L5 NP CTX Glut_5
,,,0476 PVHd-DMH Lhx6 Gaba_3,0476 L5 NP CTX Glut_5
,,,0477 PVHd-DMH Lhx6 Gaba_4,0477 NP SUB Glut_1
,,,0478 TU-ARH Otp Six6 Gaba_1,0478 NP SUB Glut_1
,,,0479 TU-ARH Otp Six6 Gaba_2,0479 NP SUB Glut_2
,,,0480 TU-ARH Otp Six6 Gaba_3,0480 NP SUB Glut_2
,,,0481 TMd-DMH Foxd2 Gaba_1,0481 NP SUB Glut_2
,,,0482 PVpo-VMPO-MPN Hmx2 Gaba_1,0482 NP SUB Glut_2
,,,0483 PVpo-VMPO-MPN Hmx2 Gaba_2,0483 NP PPP Glut_1
,,,0484 PVpo-VMPO-MPN Hmx2 Gaba_3,0484 NP PPP Glut_1
,,,0485 PVpo-VMPO-MPN Hmx2 Gaba_4,0485 NP PPP Glut_1
,,,0486 PVpo-VMPO-MPN Hmx2 Gaba_5,0486 OB Eomes Ms4a15 Glut_1
,,,0487 DMH Hmx2 Gaba_1,0487 OB Eomes Ms4a15 Glut_1
,,,0488 DMH Hmx2 Gaba_2,0488 OB Eomes Ms4a15 Glut_2
,,,0489 DMH Hmx2 Gaba_3,0489 OB Eomes Ms4a15 Glut_2
,,,0490 DMH Hmx2 Gaba_4,0490 OB Eomes Ms4a15 Glut_2
,,,0491 DMH Hmx2 Gaba_5,0491 OB Eomes Ms4a15 Glut_2
,,,0492 DMH Hmx2 Gaba_6,0492 OB Eomes Ms4a15 Glut_3
,,,0493 ARH-PVp Tbx3 Gaba_1,0493 OB Eomes Ms4a15 Glut_3
,,,0494 ARH-PVp Tbx3 Gaba_2,0494 OB Eomes Ms4a15 Glut_4
,,,0495 ARH-PVp Tbx3 Gaba_3,0495 OB Eomes Ms4a15 Glut_5
,,,0496 LGv-ZI Otx2 Gaba_1,0496 OB Eomes Ms4a15 Glut_5
,,,0497 LGv-ZI Otx2 Gaba_2,0497 HPF CR Glut_1
,,,0498 LGv-ZI Otx2 Gaba_3,0498 HPF CR Glut_1
,,,0499 LGv-ZI Otx2 Gaba_4,0499 HPF CR Glut_1
,,,0500 LGv-ZI Otx2 Gaba_5,0500 HPF CR Glut_1
,,,0501 BST-po Iigp1 Glut_1,0501 HPF CR Glut_1
,,,0502 TRS-BAC Sln Glut_1,0502 DG Glut_1
,,,0503 TRS-BAC Sln Glut_2,0503 DG Glut_1
,,,0504 GPi Tbr1 Cngb3 Gaba-Glut_1,0504 DG Glut_1
,,,0505 MEA-COA-BMA Ccdc42 Glut_1,0505 DG Glut_2
,,,0506 MEA-COA-BMA Ccdc42 Glut_2,0506 DG Glut_2
,,,0507 MEA-COA-BMA Ccdc42 Glut_3,0507 DG Glut_2
,,,0508 MEA-COA-BMA Ccdc42 Glut_4,0508 DG Glut_3
,,,0509 COAa-PAA-MEA Barhl2 Glut_1,0509 DG Glut_3
,,,0510 COAa-PAA-MEA Barhl2 Glut_2,0510 DG Glut_4
,,,0511 COAa-PAA-MEA Barhl2 Glut_3,0511 DG-PIR Ex IMN_1
,,,0512 COAa-PAA-MEA Barhl2 Glut_4,0512 DG-PIR Ex IMN_2
,,,0513 COAa-PAA-MEA Barhl2 Glut_5,0513 DG-PIR Ex IMN_2
,,,0514 COAa-PAA-MEA Barhl2 Glut_6,0514 DG-PIR Ex IMN_2
,,,0515 COAa-PAA-MEA Barhl2 Glut_7,0515 DG-PIR Ex IMN_2
